net,length_um
_0535_,4.85
_0678_,4.85
_0600_,4.82
d5.mux01.out\[0\],4.775
_0003_,4.755
_0256_,4.755
_0310_,4.755
_0340_,4.755
_0414_,4.755
_0153_,4.725
_0224_,4.685
_0035_,4.68
_0018_,4.675
_0375_,4.675
_0437_,4.675
_0511_,4.675
_0559_,4.675
_0680_,4.675
_0851_,4.675
_0926_,4.675
_0032_,4.61
_0536_,4.6
_0270_,4.58
_0361_,4.58
_0452_,4.56
_0553_,4.555
_0689_,4.555
_0956_,4.555
_0962_,4.555
_0976_,4.555
_0031_,4.54
_0105_,4.54
_0124_,4.54
_0200_,4.54
_0212_,4.53
_0218_,4.53
_0235_,4.53
_0565_,4.48
_0659_,4.48
_0681_,4.48
_0028_,4.465
_0175_,4.465
_0075_,4.44
_0505_,4.415
_0094_,4.365
_0575_,4.36
_0749_,4.36
_0294_,4.335
_0443_,4.335
_0850_,4.335
_0034_,4.295
_0067_,4.295
_0161_,4.295
_0170_,4.295
_0228_,4.295
_0199_,4.265
_0251_,4.265
_0012_,4.22
_0337_,4.22
_0653_,4.17
_0576_,4.14
_0595_,4.14
_0620_,4.14
_0626_,4.14
_0688_,4.14
_0694_,4.14
_0696_,4.14
_0033_,4.125
_0313_,4.095
_0611_,4.095
_0651_,4.095
_0654_,4.095
_0698_,4.095
_0702_,4.095
_0733_,4.095
_0931_,4.095
_0952_,4.095
_0022_,4.07
_0069_,4.07
_0082_,4.07
_0095_,4.07
_0097_,4.07
_0104_,4.07
_0111_,4.07
_0112_,4.07
_0194_,4.07
_0237_,4.07
_0784_,4.02
_0615_,3.995
_0635_,3.995
_0657_,3.995
_0309_,3.975
_0747_,3.9
_0958_,3.9
net3,3.9
_0271_,3.875
_0363_,3.875
_0854_,3.875
_0887_,3.875
_0080_,3.805
_0185_,3.805
_0020_,3.755
_0258_,3.755
_0260_,3.755
_0285_,3.755
_0312_,3.755
_0394_,3.755
_0430_,3.755
_0932_,3.755
net6,3.755
_0091_,3.69
_0428_,3.635
_0579_,3.635
_0587_,3.635
_0664_,3.635
_0666_,3.635
_0672_,3.635
_0700_,3.635
_0573_,3.535
_0631_,3.535
_0325_,3.515
_0648_,3.515
_0026_,3.445
_0462_,3.44
_0594_,3.44
_0665_,3.44
_0928_,3.44
_0939_,3.44
_0949_,3.44
_0301_,3.415
_0335_,3.415
_0374_,3.415
_0379_,3.415
_0413_,3.415
_0415_,3.415
_0872_,3.395
_0058_,3.345
_0118_,3.345
_0101_,3.3
_0262_,3.295
_0264_,3.295
_0286_,3.295
_0306_,3.295
_0328_,3.295
_0369_,3.295
_0599_,3.295
_0737_,3.295
_0882_,3.295
_0885_,3.295
d5.mux01.out\[6\],3.295
net5,3.295
_0130_,3.275
_0588_,3.175
_0591_,3.175
_0861_,3.175
_0883_,3.175
_0690_,3.075
_0857_,3.075
_0066_,2.985
_0203_,2.985
_0231_,2.985
_0461_,2.98
_0597_,2.98
_0645_,2.98
_0667_,2.98
_0707_,2.98
_0719_,2.98
_0950_,2.98
_0975_,2.98
_0167_,2.96
_0193_,2.96
_0206_,2.96
_0276_,2.955
_0284_,2.955
_0342_,2.955
_0345_,2.955
_0431_,2.955
_0436_,2.955
_0455_,2.955
_0077_,2.84
_0106_,2.84
_0128_,2.84
_0164_,2.84
_0168_,2.84
_0384_,2.835
_0410_,2.835
_0439_,2.835
_0445_,2.835
_0456_,2.835
_0835_,2.835
_0848_,2.835
_0891_,2.835
_0929_,2.835
net10,2.835
_0059_,2.74
_0244_,2.74
_0353_,2.715
_0524_,2.715
_0583_,2.715
_0806_,2.715
_0841_,2.715
_0890_,2.715
_0963_,2.715
_0109_,2.645
_0029_,2.595
_0051_,2.595
_0222_,2.595
_0229_,2.595
_0245_,2.595
_0247_,2.595
_0248_,2.595
_0253_,2.595
_0317_,2.52
_0458_,2.52
_0048_,2.5
_0078_,2.5
_0204_,2.5
_0005_,2.495
_0275_,2.495
_0292_,2.495
_0308_,2.495
_0316_,2.495
_0404_,2.495
_0418_,2.495
_0449_,2.495
_0470_,2.47
_0521_,2.47
_0888_,2.47
_0903_,2.47
_0039_,2.425
_0123_,2.425
_0129_,2.425
_0131_,2.425
_0188_,2.425
_0236_,2.425
_0259_,2.375
_0293_,2.375
_0322_,2.375
_0408_,2.375
_0446_,2.375
_0566_,2.375
_0765_,2.375
_0892_,2.375
_0944_,2.375
_0843_,2.3
_0858_,2.3
_0864_,2.3
_0191_,2.255
_0197_,2.255
_0202_,2.255
_0189_,2.16
_0219_,2.16
_0904_,2.155
_0017_,2.13
_0809_,2.13
_0401_,2.06
_0314_,2.035
_0319_,2.035
_0330_,2.035
_0336_,2.035
_0338_,2.035
_0367_,2.035
_0395_,2.035
_0056_,1.965
_0195_,1.965
_0230_,1.965
_0137_,1.915
_0196_,1.915
_0249_,1.915
_0072_,1.82
_0096_,1.82
_0100_,1.82
_0113_,1.82
_0126_,1.82
_0147_,1.82
_0165_,1.82
_0166_,1.82
_0176_,1.82
_0243_,1.82
_0246_,1.82
_0254_,1.82
_0010_,1.79
_0013_,1.79
_0295_,1.79
_0305_,1.79
_0366_,1.79
_0368_,1.79
_0440_,1.79
d5.mux01.out\[4\],1.79
_0527_,1.695
_0604_,1.695
_0027_,1.575
_0049_,1.575
_0057_,1.575
_0060_,1.575
_0071_,1.575
_0079_,1.575
_0107_,1.575
_0110_,1.575
_0121_,1.575
_0127_,1.575
_0177_,1.575
_0198_,1.575
_0205_,1.575
_0241_,1.575
_0407_,1.545
_0628_,1.45
_0706_,1.45
