net,length_um
_0732_,3.44
_0019_,3.415
_0286_,3.415
_0305_,3.415
_0312_,3.415
_0353_,3.415
_0378_,3.415
d5.mux01.out\[7\],3.415
_0256_,3.395
_0077_,3.345
_0212_,3.345
_0025_,3.3
_0261_,3.295
_0263_,3.295
_0354_,3.295
_0357_,3.295
net10,3.295
_0081_,3.275
_0798_,3.22
_0493_,3.175
_0529_,3.175
_0539_,3.175
_0573_,3.175
_0639_,3.175
_0838_,3.175
_0854_,3.175
_0896_,3.175
_0769_,3.1
_0554_,3.075
_0606_,3.075
_0611_,3.075
_0720_,3.075
_0726_,3.075
_0274_,3.055
_0281_,3.055
_0413_,3.055
_0041_,2.985
_0151_,2.985
_0210_,2.985
_0320_,2.98
_0518_,2.98
_0541_,2.98
_0594_,2.98
_0669_,2.98
_0713_,2.98
_0762_,2.98
net12,2.98
_0149_,2.96
_0245_,2.96
_0317_,2.955
_0330_,2.955
_0340_,2.955
_0363_,2.955
_0375_,2.955
_0376_,2.955
_0428_,2.955
_0064_,2.935
_0082_,2.935
_0119_,2.935
_0042_,2.84
_0057_,2.84
_0061_,2.84
_0065_,2.84
_0071_,2.84
_0083_,2.84
_0100_,2.84
_0140_,2.84
_0176_,2.84
_0179_,2.84
_0186_,2.84
_0205_,2.84
_0216_,2.84
_0237_,2.84
_0244_,2.84
_0253_,2.84
_0017_,2.835
_0294_,2.835
_0335_,2.835
_0399_,2.835
_0481_,2.835
_0632_,2.835
_0257_,2.81
_0360_,2.81
_0915_,2.76
_0040_,2.74
_0184_,2.74
_0249_,2.74
_0318_,2.715
_0500_,2.715
_0503_,2.715
_0731_,2.715
_0823_,2.715
_0844_,2.715
_0879_,2.715
_0898_,2.715
_0901_,2.715
_0026_,2.62
_0159_,2.62
_0648_,2.615
_0653_,2.615
_0655_,2.615
_0672_,2.615
_0703_,2.615
_0024_,2.595
_0068_,2.595
_0078_,2.595
_0107_,2.595
_0191_,2.595
_0224_,2.595
_0254_,2.595
_0021_,2.5
_0023_,2.5
_0047_,2.5
_0203_,2.5
_0009_,2.495
_0270_,2.495
_0280_,2.495
_0298_,2.495
_0339_,2.495
_0359_,2.495
_0978_,2.495
_0615_,2.47
_0688_,2.47
_0827_,2.47
_0837_,2.47
_0979_,2.47
_0035_,2.425
_0152_,2.425
_0012_,2.375
_0014_,2.375
_0299_,2.375
_0315_,2.375
_0329_,2.375
_0338_,2.375
_0351_,2.375
_0352_,2.375
_0455_,2.375
_0468_,2.375
_0472_,2.375
_0499_,2.375
_0830_,2.375
_0856_,2.375
_0959_,2.3
_0240_,2.28
_0273_,2.28
_0153_,2.255
_0209_,2.255
_0213_,2.255
_0239_,2.255
_0177_,2.16
_0190_,2.16
_0200_,2.16
_0230_,2.16
